id,name,lat,long,coolingType,coolingPlace,hasCoolingTower,wikiLink,asnLink
BELLEVILLE,Belleville,47.5063,2.875,RIVER,Loire,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Belleville,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Belleville-sur-Loire
BLAYAIS,Blayais,45.2527,-0.6908,RIVER,Gironde,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Blayais,https://www.asn.fr/L-ASN/L-ASN-en-region/Nouvelle-Aquitaine/Installations-nucleaires/Centrale-nucleaire-du-Blayais
BUGEY,Bugey,45.7948,5.2709,RIVER,Rhône,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Bugey,https://www.asn.fr/L-ASN/L-ASN-en-region/Auvergne-Rhone-Alpes/Installations-nucleaires/Centrale-nucleaire-du-Bugey
CATTENOM,Cattenom,49.4125,6.2181,RIVER,Moselle,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Cattenom,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Cattenom
CHINON,Chinon B,47.2273,0.1703,RIVER,Loire,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Chinon,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Chinon-B
CHOOZ,Chooz B,50.0868,4.7906,RIVER,Meuse,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Chooz,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Chooz-B
CIVAUX,Civaux,46.4532,0.6528,RIVER,Vienne,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Civaux,https://www.asn.fr/L-ASN/L-ASN-en-region/Nouvelle-Aquitaine/Installations-nucleaires/Centrale-nucleaire-de-Civaux
CRUAS,Cruas,44.6296,4.7567,RIVER,Rhône,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Cruas,https://www.asn.fr/L-ASN/L-ASN-en-region/Auvergne-Rhone-Alpes/Installations-nucleaires/Centrale-nucleaire-de-Cruas-Meysse
DAMPIERRE,Dampierre,47.7297,2.5167,RIVER,Loire,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Dampierre,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Dampierre-en-Burly
FESSENHEIM,Fessenheim,47.8998,7.5631,RIVER,Grand Canal d'Alsace,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Fessenheim,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Fessenheim
FLAMANVILLE,Flamanville,49.5331,-1.8818,SEA,Manche,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Flamanville,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Flamanville
GOLFECH,Golfech,44.1031,0.8453,RIVER,Garonne,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Golfech,https://www.asn.fr/L-ASN/L-ASN-en-region/Occitanie/Installations-nucleaires/Centrale-nucleaire-de-Golfech
GRAVELINES,Gravelines,51.0113,2.135,SEA,Mer du Nord,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Gravelines,https://www.asn.fr/L-ASN/L-ASN-en-region/Hauts-de-France/Installations-nucleaires/Centrale-nucleaire-de-Gravelines
NOGENT,Nogent,48.5119,3.5179,RIVER,Seine,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Nogent,https://www.asn.fr/L-ASN/L-ASN-en-region/Grand-Est/Installations-nucleaires/Centrale-nucleaire-de-Nogent-sur-Seine
PALUEL,Paluel,49.8546,0.6353,SEA,Manche,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Paluel,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Paluel
PENLY,Penly,49.9729,1.2119,SEA,Manche,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Penly,https://www.asn.fr/L-ASN/L-ASN-en-region/Normandie/Installations-nucleaires/Centrale-nucleaire-de-Penly
ST_ALBAN,Saint-Alban,45.401,4.7554,RIVER,Rhône,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Saint-Alban,https://www.asn.fr/L-ASN/L-ASN-en-region/Auvergne-Rhone-Alpes/Installations-nucleaires/Centrale-nucleaire-de-Saint-Alban
ST_LAURENT,Saint-Laurent,47.7206,1.5836,RIVER,Loire,TRUE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Saint-Laurent,https://www.asn.fr/L-ASN/L-ASN-en-region/Centre-Val-de-Loire/Installations-nucleaires/Centrale-nucleaire-de-Saint-Laurent-des-Eaux
TRICASTIN,Tricastin,44.3274,4.7315,RIVER,canal de Donzère,FALSE,https://fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_du_Tricastin,https://www.asn.fr/L-ASN/L-ASN-en-region/Auvergne-Rhone-Alpes/Installations-nucleaires/Centrale-nucleaire-du-Tricastin
